IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_CY5L_3417dfb5	1	1726	73	128	1539	1602	1189	1587
simvarmass_CY5L_34ee1647	1	2272	506	122	418	2075	1845	2062
simvarmass_CY5L_35a74d8f	1	1070	36	157	977	1012	681	1009
simvarmass_CY5L_3ac13591	1	2264	505	7	409	18025	1813	2105
simvarmass_CY5L_3baeb3a0	1	566	28	258	535	558	437	1008
simvarmass_CY5L_3c3d0b00	1	47	21	85	39	41	30	41
simvarmass_CY5L_3ce660ee	1	1288	203	201	952	1241	1006	1263
simvarmass_CY5L_3f293d0a	1	2034	170	133	1487	1861	1393	1847
simvarmass_CY5L_3fbeb461	1	957	233	95	402	895	537	888
simvarmass_CY5L_404f03b0	1	2080	194	150	1514	1905	1535	1889
simvarmass_CY5L_432f525a	1	1011	396	106	214	967	627	959
simvarmass_CY5L_433b52eb	1	607	29	207	572	593	366	621
simvarmass_CY5L_445780d7	1	1928	360	129	599	1779	1344	1749
simvarmass_CY5L_463f3d0e	1	1455	361	95	613	1364	1149	1357
simvarmass_CY5L_481edd78	1	2236	201	178	1370	2032	1442	2021
simvarmass_CY5L_4824bda2	1	1733	403	193	715	1641	1516	1652
simvarmass_CY5L_4952c9ea	1	332	28	212	312	326	244	342
simvarmass_CY5L_4af3b5c2	1	1010	34	249	954	982	900	1317
simvarmass_CY5L_4b06e1a1	1	714	32	252	651	686	464	1120
simvarmass_CY5L_4b8f9368	1	213	31	259	192	208	181	743
simvarmass_CY5L_4ba4183d	1	2241	431	110	465	2018	1442	2013
simvarmass_CY5L_4e1231de	1	168	21	129	139	147	111	147
simvarmass_CY5L_500608c2	1	2515	53	104	2189	2248	1511	2238
simvarmass_CY5L_5090057d	1	1938	111	142	1611	1769	1285	1762
simvarmass_CY5L_525c29df	1	1447	174	175	1102	1386	1065	1379
simvarmass_CY5L_539f9527	1	403	26	155	379	395	301	391
simvarmass_CY5L_53d5d0cc	1	2003	337	175	521	1852	1229	1833
simvarmass_CY5L_5587e50e	1	1397	78	210	1228	1294	873	1345
simvarmass_CY5L_56136743	1	137	32	270	129	140	91	695
simvarmass_CY5L_56916148	1	1618	279	143	860	1529	1245	1517
