GROUP	TARGET	SALT_CONC	BIO_REPL	TIMEPOINT	CELL_COUNT	TOOL	TH_TYPE	STACK_TRIMMED	LR_SLOPE	LR_ICEPT	PEARSON_EST	PEARSON_P	PEARSON_CI95_LO	PEARSON_CI95_HI	SPEARMAN_EST	SPEARMAN_P
74	CTT1	CTT1	0.2	1	25	613	NeuertLab	Fixed	TRUE	0.861840369769653	0.618513769697234	0.989678755614563	0	0.98791421057976	0.991186816343051	0.993824597438744	0
75	CTT1	CTT1	0.2	1	25	613	NeuertLab	Variable	FALSE	0.791601057601313	0.903942875596152	0.980161438675032	0	0.976788771489778	0.983048248777098	0.988670620629929	0
76	CTT1	CTT1	0.2	1	25	613	NeuertLab	Variable	TRUE	0.729668176740201	0.847529958455095	0.915732223282857	3.88793402679425e-244	0.901948601130284	0.927651911900946	0.939861813704648	3.01985736400623e-287
77	CTT1	CTT1	0.2	1	25	613	Big-FISH	Fixed	FALSE	0.529206092583506	1.19620003725265	0.956793470806474	0	0.949549333766149	0.963017164910434	0.960340198447755	0
78	CTT1	CTT1	0.2	1	25	613	Big-FISH	Fixed	TRUE	0.710804030315565	0.745646520557554	0.982063853143083	0	0.979011179015533	0.984675975551656	0.984554122721731	0
79	CTT1	CTT1	0.2	1	25	613	Big-FISH	Variable	FALSE	0.647397207431151	1.98890783275432	0.96443736581253	0	0.958447612606599	0.969577111991407	0.956771589981451	0
80	CTT1	CTT1	0.2	1	25	613	Big-FISH	Variable	TRUE	0.76746988685291	1.90682000200261	0.977222516435139	0	0.97335693847663	0.980532779725141	0.975740192712492	0
81	CTT1	CTT1	0.2	1	2	707	NeuertLab	Fixed	FALSE	0.846804349237322	0.0584209758491184	0.99274829074678	0	0.99159860349841	0.993741143723402	0.951303200240904	0
82	CTT1	CTT1	0.2	1	2	707	NeuertLab	Fixed	TRUE	0.792120209590901	0.0832202610286785	0.988302103511447	0	0.986452309219077	0.989900612001469	0.942631433101127	0
83	CTT1	CTT1	0.2	1	2	707	NeuertLab	Variable	FALSE	0.87024464327121	0.11403142279981	0.988647650347276	0	0.986852136228115	0.99019917288251	0.906422560808136	4.31834282738969e-266
84	CTT1	CTT1	0.2	1	2	707	NeuertLab	Variable	TRUE	0.841821501565037	0.134219703574535	0.983313010493765	0	0.980681953502189	0.985588333157749	0.897797201904191	2.7736574916981e-253
85	CTT1	CTT1	0.2	1	2	707	Big-FISH	Fixed	FALSE	0.674420931146127	0.0357213442351771	0.971515500656274	0	0.967055215148812	0.975379481070244	0.865569563462668	6.26075331930772e-214
86	CTT1	CTT1	0.2	1	2	707	Big-FISH	Fixed	TRUE	0.794308024247419	-0.0232640061058919	0.970766759976029	0	0.966191242401359	0.974731006786216	0.849224958718669	1.05548108198956e-197
87	CTT1	CTT1	0.2	1	2	707	Big-FISH	Variable	FALSE	0.763622064936519	0.0883970095695143	0.970549695961121	0	0.965940791192172	0.974542998053737	0.902194066211791	1.15693920541859e-259
88	CTT1	CTT1	0.2	1	2	707	Big-FISH	Variable	TRUE	0.846934318730003	0.0577774842667171	0.971551982472862	0	0.967097314185066	0.97541107577633	0.890266777355335	5.26739763601559e-243
89	CTT1	CTT1	0.2	1	30	977	NeuertLab	Fixed	FALSE	0.727396115365751	1.05278880280098	0.969353291174347	0	0.96532291050421	0.972921690794798	0.984310569654107	0
90	CTT1	CTT1	0.2	1	30	977	NeuertLab	Fixed	TRUE	0.834040845386596	0.769745847905075	0.984480810950923	0	0.982422109055615	0.986300066362632	0.984795681649469	0
91	CTT1	CTT1	0.2	1	30	977	NeuertLab	Variable	FALSE	0.660916305221998	0.946403664673822	0.944005471897715	0	0.936748638436062	0.950451028616213	0.961597302127676	0
92	CTT1	CTT1	0.2	1	30	977	NeuertLab	Variable	TRUE	0.842861331752052	0.920141852133595	0.982463941617795	0	0.980140368899382	0.984517782395592	0.982931519971524	0
93	CTT1	CTT1	0.2	1	30	977	Big-FISH	Fixed	FALSE	0.455370839890041	1.39008427170445	0.922418113422241	0	0.912489520413051	0.931260735044692	0.948296374398365	0
94	CTT1	CTT1	0.2	1	30	977	Big-FISH	Fixed	TRUE	0.748399513328176	0.456148656122064	0.974566094543484	0	0.971211233580121	0.977534456841277	0.976000217310945	0
95	CTT1	CTT1	0.2	1	30	977	Big-FISH	Variable	FALSE	0.520257492476908	2.28866328878894	0.939879843086633	0	0.932107005578181	0.946787303512377	0.952812681695582	0
96	CTT1	CTT1	0.2	1	30	977	Big-FISH	Variable	TRUE	0.79233059619953	1.71593035403345	0.963954409990132	0	0.959228716122742	0.968141267694488	0.961397980633057	0
