IMAGENAME	EXP	REP	TIME	I_NUM	CH	THVAL_HB	THSPOTS_HB	THVAL_BF	THSPOTS_BF
sctc_E1R2_40m_I3_STL1	1	2	40	3	1	72	2173	158	2302
sctc_E1R2_40m_I3_CTT1	1	2	40	3	2	146	120	98	44952
sctc_E1R2_40m_I4_STL1	1	2	40	4	1	69	1827	167	1805
sctc_E1R2_40m_I4_CTT1	1	2	40	4	2	149	107	96	46459
sctc_E1R2_45m_I1_STL1	1	2	45	1	1	67	636	120	656
sctc_E1R2_45m_I1_CTT1	1	2	45	1	2	150	94	88	45562
sctc_E1R2_45m_I2_STL1	1	2	45	2	1	80	514	180	672
sctc_E1R2_45m_I2_CTT1	1	2	45	2	2	140	163	82	50246
sctc_E1R2_45m_I3_STL1	1	2	45	3	1	77	775	125	682
sctc_E1R2_45m_I3_CTT1	1	2	45	3	2	131	168	91	41746
sctc_E1R2_45m_I4_STL1	1	2	45	4	1	70	768	161	710
sctc_E1R2_45m_I4_CTT1	1	2	45	4	2	128	170	103	37728
sctc_E1R2_4m_I1_STL1	1	2	4	1	1	72	327	164	246
sctc_E1R2_4m_I1_CTT1	1	2	4	1	2	182	180	162	97
sctc_E1R2_4m_I2_STL1	1	2	4	2	1	82	490	96	402
sctc_E1R2_4m_I2_CTT1	1	2	4	2	2	181	185	31	36173
sctc_E1R2_4m_I3_STL1	1	2	4	3	1	77	495	183	430
sctc_E1R2_4m_I3_CTT1	1	2	4	3	2	142	77	55	48759
sctc_E1R2_4m_I4_STL1	1	2	4	4	1	81	449	119	410
sctc_E1R2_4m_I4_CTT1	1	2	4	4	2	134	93	36	51532
sctc_E1R2_50m_I1_STL1	1	2	50	1	1	62	333	116	388
sctc_E1R2_50m_I1_CTT1	1	2	50	1	2	104	50	77	37564
sctc_E1R2_50m_I2_STL1	1	2	50	2	1	59	436	137	474
sctc_E1R2_50m_I2_CTT1	1	2	50	2	2	112	214	81	43492
sctc_E1R2_50m_I3_STL1	1	2	50	3	1	67	302	130	320
sctc_E1R2_50m_I3_CTT1	1	2	50	3	2	93	349	78	51612
sctc_E1R2_55m_I1_STL1	1	2	55	1	1	81	1300	185	1427
sctc_E1R2_55m_I1_CTT1	1	2	55	1	2	153	83	58	71905
sctc_E1R2_55m_I2_STL1	1	2	55	2	1	73	1899	161	1936
sctc_E1R2_55m_I2_CTT1	1	2	55	2	2	158	117	93	52238
sctc_E1R2_55m_I3_STL1	1	2	55	3	1	72	1883	160	2096
sctc_E1R2_55m_I3_CTT1	1	2	55	3	2	162	131	70	75522
sctc_E1R2_55m_I4_STL1	1	2	55	4	1	97	1478	138	1743
sctc_E1R2_55m_I4_CTT1	1	2	55	4	2	153	124	81	51315
sctc_E1R2_6m_I1_STL1	1	2	6	1	1	84	1782	99	1410
sctc_E1R2_6m_I1_CTT1	1	2	6	1	2	191	649	137	415
sctc_E1R2_6m_I2_STL1	1	2	6	2	1	106	2547	140	1996
sctc_E1R2_6m_I2_CTT1	1	2	6	2	2	174	1176	198	765
sctc_E1R2_6m_I3_STL1	1	2	6	3	1	84	2587	152	2213
sctc_E1R2_6m_I3_CTT1	1	2	6	3	2	169	1073	196	673
sctc_E1R2_6m_I4_STL1	1	2	6	4	1	79	2540	103	2348
sctc_E1R2_6m_I4_CTT1	1	2	6	4	2	187	889	133	553
sctc_E1R2_8m_I1_STL1	1	2	8	1	1	81	2628	99	2028
sctc_E1R2_8m_I1_CTT1	1	2	8	1	2	155	1489	97	1046
sctc_E1R2_8m_I2_STL1	1	2	8	2	1	98	3315	92	2437
sctc_E1R2_8m_I2_CTT1	1	2	8	2	2	147	1951	31	31607
sctc_E1R2_8m_I3_STL1	1	2	8	3	1	86	3012	99	2141
sctc_E1R2_8m_I3_CTT1	1	2	8	3	2	143	2117	195	1209
sctc_E1R2_8m_I4_STL1	1	2	8	4	1	91	3286	109	2351
sctc_E1R2_8m_I4_CTT1	1	2	8	4	2	149	1795	137	1056
sctc_E2R1_0m_I1_STL1	2	1	0	1	1	86	413	198	507
sctc_E2R1_0m_I1_CTT1	2	1	0	1	2	135	133	139	43414
sctc_E2R1_0m_I2_STL1	2	1	0	2	1	81	390	197	444
sctc_E2R1_0m_I2_CTT1	2	1	0	2	2	131	154	119	41065
sctc_E2R1_0m_I3_STL1	2	1	0	3	1	73	146	188	182
sctc_E2R1_0m_I3_CTT1	2	1	0	3	2	126	137	98	41993
sctc_E2R1_0m_I4_STL1	2	1	0	4	1	68	203	169	244
sctc_E2R1_0m_I4_CTT1	2	1	0	4	2	129	61	88	43027
sctc_E2R1_10m_I1_STL1	2	1	10	1	1	78	22242	644	716
sctc_E2R1_10m_I1_CTT1	2	1	10	1	2	141	22944	622	912
