IMAGENAME	ACTUAL_SPOTS	ACTUAL_SPOTS_TRIMMED	HBTr_THRESH	HBTr_COUNT_VAR	HBTr_COUNT_FIXED	BFTr_THRESH	BFTr_COUNT_VAR	BFTr_COUNT_FIXED
simvarmass_TMRL_32388b80	1696	1605	126	1529	1527	89	18309	2109
simvarmass_TMRL_3374d92b	1373	1292	129	1245	1244	336	1243	1208
simvarmass_TMRL_35c8d048	718	673	107	646	640	555	659	1648
simvarmass_TMRL_3bb5d83a	127	121	102	99	99	452	103	147
simvarmass_TMRL_3c29f86e	2334	2174	83	2011	1972	314	1964	1929
simvarmass_TMRL_3d5487ce	2457	2317	106	2104	2061	548	2146	3249
simvarmass_TMRL_3dab40da	1301	1249	148	1200	1200	458	1298	1560
simvarmass_TMRL_40da6748	452	430	84	415	413	236	414	405
simvarmass_TMRL_4179b643	1165	1096	150	1053	1056	521	1061	1780
simvarmass_TMRL_418898bd	1020	956	111	926	915	617	934	2692
simvarmass_TMRL_4415117e	1523	1439	73	1363	1356	258	1352	1329
simvarmass_TMRL_44d95a97	828	783	125	755	755	402	752	751
simvarmass_TMRL_4552f372	634	598	93	577	572	346	571	561
simvarmass_TMRL_456b410c	1348	1274	179	1240	1333	201	19780	10756
simvarmass_TMRL_45b2c534	62	57	67	54	54	404	55	55
simvarmass_TMRL_46c8a8cf	423	407	162	384	401	138	18332	6256
simvarmass_TMRL_487e5f1d	2362	2232	103	1985	1935	326	1988	1937
